MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status
244123456,2026-08-13T12:00:00Z,56.2800,2.9500,14.2,42.5,43.0,MT NORDIC TITAN,IMO9284123,PCDE,Tanker,under way using engine
244123456,2026-08-13T13:00:00Z,56.3050,2.9850,13.8,44.0,44.0,MT NORDIC TITAN,IMO9284123,PCDE,Tanker,under way using engine
244123456,2026-08-13T14:12:00Z,56.3260,3.0210,9.1,45.0,45.0,MT NORDIC TITAN,IMO9284123,PCDE,Tanker,under way using engine
244123456,2026-08-13T15:30:00Z,56.3600,3.0700,14.0,46.0,46.0,MT NORDIC TITAN,IMO9284123,PCDE,Tanker,under way using engine
311987654,2026-08-13T09:00:00Z,56.3800,2.9800,18.5,88.0,89.0,MV PACIFIC TRADER,IMO9456789,C6XYZ,Cargo,under way using engine
311987654,2026-08-13T09:40:00Z,56.4010,3.0300,18.6,87.5,88.0,MV PACIFIC TRADER,IMO9456789,C6XYZ,Cargo,under way using engine
311987654,2026-08-13T10:30:00Z,56.4250,3.1100,18.4,88.0,88.0,MV PACIFIC TRADER,IMO9456789,C6XYZ,Cargo,under way using engine
219654321,2026-08-13T12:30:00Z,56.1200,3.2200,4.2,160.0,158.0,FV SEA HUNTER,IMO0000000,OZ123,Fishing,engaged in fishing
219654321,2026-08-13T13:25:00Z,56.1350,3.2450,4.0,165.0,162.0,FV SEA HUNTER,IMO0000000,OZ123,Fishing,engaged in fishing
219654321,2026-08-13T14:40:00Z,56.1500,3.2700,3.8,170.0,168.0,FV SEA HUNTER,IMO0000000,OZ123,Fishing,engaged in fishing
